23511,1077703917,0,admin_login,"2015-10-20 15:18:01",login,"a:1:{s:7:""general"";N;}",success,vaughn,,adminhtml_index_index,,64.60.116.237
23512,1077703917,0,adminhtml_system_config,"2015-10-20 15:24:38",view,"a:1:{s:7:""general"";s:6:""google"";}",success,vaughn,,adminhtml_system_config_edit,,64.60.116.237
23513,1077703917,0,adminhtml_system_config,"2015-10-20 15:24:50",save,"a:1:{s:7:""general"";s:6:""google"";}",success,vaughn,,adminhtml_system_config_save,,64.60.116.237
23514,1077703917,0,adminhtml_system_config,"2015-10-20 15:26:47",save,"a:1:{s:7:""general"";s:6:""google"";}",success,vaughn,,adminhtml_system_config_save,,64.60.116.237
23515,1077703917,0,admin_login,"2015-10-20 16:14:35",login,"a:1:{s:7:""general"";N;}",success,vaughn,,adminhtml_system_config_index,,64.60.116.237
23516,1077703917,0,admin_login,"2015-10-20 16:36:24",login,"a:1:{s:7:""general"";N;}",success,psingh,,adminhtml_sales_order_view,,64.60.116.237
23517,1077703917,0,index_management,"2015-10-20 16:36:33",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23518,1077703917,0,catalog_products,"2015-10-20 16:36:51",view,"a:1:{s:7:""general"";s:3:""604"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23519,1077703917,0,catalog_products,"2015-10-20 16:36:58",view,"a:1:{s:7:""general"";s:3:""770"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23520,1077703917,0,catalog_products,"2015-10-20 16:39:53",save,"a:1:{s:7:""general"";s:3:""770"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23521,1077703917,0,catalog_products,"2015-10-20 16:41:08",view,"a:1:{s:7:""general"";s:3:""771"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23522,1077703917,0,catalog_products,"2015-10-20 16:42:42",save,"a:1:{s:7:""general"";s:3:""771"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23523,1077703917,0,index_management,"2015-10-20 16:45:43",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23524,1077703917,0,cache_management,"2015-10-20 16:45:47",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23525,3629571434,0,admin_login,"2015-10-20 17:19:06",login,"a:1:{s:7:""general"";N;}",success,vaughn,,adminhtml_index_index,,216.86.221.106
23526,1077703917,0,admin_login,"2015-10-20 17:19:16",login,"a:1:{s:7:""general"";N;}",success,vaughn,,adminhtml_index_index,,64.60.116.237
23527,1077703917,0,cache_management,"2015-10-20 17:19:27",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,vaughn,,adminhtml_cache_massRefresh,,64.60.116.237
23528,1077703917,0,cache_management,"2015-10-20 17:19:32",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,vaughn,,adminhtml_cache_massRefresh,,64.60.116.237
23529,3629571434,0,adminhtml_permission_users,"2015-10-20 17:19:39",view,"a:1:{s:7:""general"";s:2:""15"";}",success,vaughn,,adminhtml_permissions_user_edit,,216.86.221.106
23530,3629571434,0,adminhtml_permission_users,"2015-10-20 17:20:08",save,"a:1:{s:7:""general"";s:2:""15"";}",success,vaughn,,adminhtml_permissions_user_save,,216.86.221.106
23531,3629571434,0,index_management,"2015-10-20 17:21:46",reindex_process,"a:1:{s:7:""general"";i:1;}",success,vaughn,,adminhtml_process_reindexProcess,,216.86.221.106
23532,3629571434,0,adminhtml_system_config,"2015-10-20 17:23:17",view,"a:1:{s:7:""general"";s:8:""advanced"";}",success,vaughn,,adminhtml_system_config_edit,,216.86.221.106
